,Place,Address,Category,Rating,urls,lat,lng
48,Druggists,119 Tyrwhitt Rd,Restaurant,4.4,"https://www.google.com/maps/place/Druggists/@1.3111042,103.8509579,15z/data=!3m1!4b1!4m10!1m3!11m2!2scTci7UxlycrTnDNaJ4kNuLYbC8TUSw!3e3!3m5!1s0x31da19c91950d7e1:0x6578fcfc8003836c!8m2!3d1.3111042!4d103.8596912!15sCgEqWgMiASqSAQpyZXN0YXVyYW50",1.3111042,103.8596912
49,Antea Social,9 Tyrwhitt Rd,Tea house,4.7,"https://www.google.com/maps/place/Antea+Social/@1.3091802,103.8496415,15z/data=!3m1!4b1!4m10!1m3!11m2!2scTci7UxlycrTnDNaJ4kNuLYbC8TUSw!3e3!3m5!1s0x31da19b95f37ba01:0x8e79c056cb37c361!8m2!3d1.3091621!4d103.8584022!15sCgEqWgMiASqSAQl0ZWFfaG91c2U",1.3091621,103.8584022
50,BUNKERBUNKER!! BUT SMALLER!!,"31 Club St, #01-02 Emerald Garden",Bottle Shop and Liquor Store,4.8,"https://www.google.com/maps/place/BUNKERBUNKER!!+BUT+SMALLER!!/@1.282355,103.8376366,15z/data=!3m1!4b1!4m10!1m3!11m2!2scTci7UxlycrTnDNaJ4kNuLYbC8TUSw!3e3!3m5!1s0x31da19e5b5110085:0x196d7ca3f9281f2d!8m2!3d1.282355!4d103.8463699!15sCgEqWgMiASqSAQxsaXF1b3Jfc3RvcmU",1.282355,103.8463699
51,"THE MOON - BOOKS, TEA & TAROT","SG, Mosque St, 37",Book store,4.6,"https://www.google.com/maps/place/THE+MOON+-+BOOKS,+TEA+%26+TAROT/@1.2837426,103.8363171,15z/data=!3m1!4b1!4m10!1m3!11m2!2scTci7UxlycrTnDNaJ4kNuLYbC8TUSw!3e3!3m5!1s0x31da198930ded485:0x268ea4cf9d5712de!8m2!3d1.2837459!4d103.8450523!15sCgEqWgMiASqSAQpib29rX3N0b3Jl",1.2837459,103.8450523
52,My Little Tapas Bar,14 Ann Siang Rd,Tapas Bar,4.1,"https://www.google.com/maps/place/My+Little+Tapas+Bar/@1.2811538,103.83679,15z/data=!3m1!4b1!4m10!1m3!11m2!2scTci7UxlycrTnDNaJ4kNuLYbC8TUSw!3e3!3m5!1s0x31da190cde98a86b:0xe636e56420bb15e3!8m2!3d1.2811538!4d103.8455233!15sCgEqWgMiASqSAQl0YXBhc19iYXI",1.2811538,103.8455233
53,The Other Roof,"28 Ann Siang Rd, Rooftop Bar",Bar,4.7,"https://www.google.com/maps/place/The+Other+Roof/@1.280726,103.8370537,15z/data=!3m1!4b1!4m10!1m3!11m2!2scTci7UxlycrTnDNaJ4kNuLYbC8TUSw!3e3!3m5!1s0x31da197884c1498f:0xce54fa18b42524ed!8m2!3d1.280726!4d103.845787!15sCgEqWgMiASqSAQNiYXI",1.280726,103.845787
54,Park Bench Deli,179 Telok Ayer St,Sandwich,4.4,"https://www.google.com/maps/place/Park+Bench+Deli/@1.2798852,103.8386323,15z/data=!3m1!4b1!4m10!1m3!11m2!2scTci7UxlycrTnDNaJ4kNuLYbC8TUSw!3e3!3m5!1s0x31da190d7c34ca21:0x3dabbbd4194cd65d!8m2!3d1.2798852!4d103.8473656!15sCgEqWgMiASqSAQ1zYW5kd2ljaF9zaG9w",1.2798852,103.8473656
55,Two Men Bagel House,"16 Enggor St, #01-12 Icon Village Altez",Bagel shop,4.6,"https://www.google.com/maps/place/Two+Men+Bagel+House/@1.2744873,103.8355846,15z/data=!3m1!4b1!4m10!1m3!11m2!2scTci7UxlycrTnDNaJ4kNuLYbC8TUSw!3e3!3m5!1s0x31da196b4e7b98a5:0xbd0dbb628f85d452!8m2!3d1.2744583!4d103.8443136!15sCgEqWgMiASqSAQpiYWdlbF9zaG9w",1.2744583,103.8443136
56,Bar Cicheti,10 Jiak Chuan Rd,Italian,4.2,"https://www.google.com/maps/place/Bar+Cicheti/@1.2798211,103.833179,15z/data=!3m1!4b1!4m10!1m3!11m2!2scTci7UxlycrTnDNaJ4kNuLYbC8TUSw!3e3!3m5!1s0x31da19777792b08d:0xeed4728c0f4c7912!8m2!3d1.2798211!4d103.8419123!15sCgEqWgMiASqSARJpdGFsaWFuX3Jlc3RhdXJhbnQ",1.2798211,103.8419123
57,bar Milano,"55 Keong Saik Rd., 01-02",Italian,4.3,"https://www.google.com/maps/place/bar+Milano/@1.2806813,103.8327805,15z/data=!3m1!4b1!4m10!1m3!11m2!2scTci7UxlycrTnDNaJ4kNuLYbC8TUSw!3e3!3m5!1s0x31da1992a8051935:0x9ead59e58826766d!8m2!3d1.2806813!4d103.8415138!15sCgEqWgMiASqSARJpdGFsaWFuX3Jlc3RhdXJhbnQ",1.2806813,103.8415138
